CDS_chrom CDS_start CDS_end PP2C_chrom PP2C_start PP2C_end
BGV006865_MAS2.0ch07 63118192 63120910 BGV006865_MAS2.0ch07 63115744 63118124
BGV007931_MAS2.0ch07 66197817 66200534 BGV007931_MAS2.0ch07 66195366 66197749
BGV007989_MAS2.0ch07 66186610 66189328 BGV007989_MAS2.0ch07 66184159 66186543
Brandywine_MAS2.0ch07 65635208 65637926 Brandywine_MAS2.0ch07 65632757 65635141
EA00371_MAS2.0ch07 65224649 65227367 EA00371_MAS2.0ch07 65222198 65224582
EA00990_MAS2.0ch07 65238272 65240990 EA00990_MAS2.0ch07 65235821 65238205
Fla.8924_MAS2.0ch07 65478191 65480909 Fla.8924_MAS2.0ch07 65475740 65478124
Floradade_MAS2.0ch07 65735092 65737810 Floradade_MAS2.0ch07 65732625 65735021
SL4.0ch07 65438534 65441252 SL4.0ch07 65436084 65438467
LYC1410_MAS2.0ch07 65332868 65335586 LYC1410_MAS2.0ch07 65330417 65332801
Sly07 56981920 56984638 Sly07 56979469 56981853
M82_MAS2.0ch07 65382542 65385260 M82_MAS2.0ch07 65380091 65382475
PAS014479_MAS2.0ch07 63148188 63150906 PAS014479_MAS2.0ch07 63145721 63148118
PI169588_MAS2.0ch07 64619674 64622392 PI169588_MAS2.0ch07 64617223 64619607
PI303721_MAS2.0ch07 64803394 64806112 PI303721_MAS2.0ch07 64800943 64803327
SL2.50ch07 65596566 65599284 SL2.50ch07 65594115 65596499
Spenn-ch07 76645960 103112587 Spenn-ch07 76643455 76645890
Sly07 67652422 67655139 Sly07 67649957 67652351
Sly07 62269627 62272345 Sly07 62267177 62269560
Sly07 60078810 60081589 Sly07 60075644 60076730
Sly07 68254405 68257320 Sly07 68251851 68254335
Sly07 61253142 61255920 Sly07 61249991 61251077
Sly07 68264065 68266782 Sly07 68262705 68263994
Sly07 65737447 65740124 Sly07 65734986 65736096
Sly07 36748 58700669 Sly07 58695294 58696422
Sly07 61712549 61715267 Sly07 61710097 61712481
