name	CDS_chrom	CDS_start	CDS_end	PP2C_chrom	PP2C_start	PP2C_end	distance
BGV006865	BGV006865_MAS2.0ch07	63118192	63120910	BGV006865_MAS2.0ch07	63115744	63118124	2448
BGV007931	BGV007931_MAS2.0ch07	66197817	66200534	BGV007931_MAS2.0ch07	66195366	66197749	2451
BGV007989	BGV007989_MAS2.0ch07	66186610	66189328	BGV007989_MAS2.0ch07	66184159	66186543	2451
Brandywine	Brandywine_MAS2.0ch07	65635208	65637926	Brandywine_MAS2.0ch07	65632757	65635141	2451
EA00371	EA00371_MAS2.0ch07	65224649	65227367	EA00371_MAS2.0ch07	65222198	65224582	2451
EA00990	EA00990_MAS2.0ch07	65238272	65240990	EA00990_MAS2.0ch07	65235821	65238205	2451
Fla.8924	Fla.8924_MAS2.0ch07	65478191	65480909	Fla.8924_MAS2.0ch07	65475740	65478124	2451
Floradade	Floradade_MAS2.0ch07	65735092	65737810	Floradade_MAS2.0ch07	65732625	65735021	2467
Heinz	SL4.0ch07	65438534	65441252	SL4.0ch07	65436084	65438467	2450
LYC1410	LYC1410_MAS2.0ch07	65332868	65335586	LYC1410_MAS2.0ch07	65330417	65332801	2451
M82	Sly07	56981920	56984638	Sly07	56979469	56981853	2451
M82_MAS2.0	M82_MAS2.0ch07	65382542	65385260	M82_MAS2.0ch07	65380091	65382475	2451
PAS014479	PAS014479_MAS2.0ch07	63148188	63150906	PAS014479_MAS2.0ch07	63145721	63148118	2467
PI169588	PI169588_MAS2.0ch07	64619674	64622392	PI169588_MAS2.0ch07	64617223	64619607	2451
PI303721	PI303721_MAS2.0ch07	64803394	64806112	PI303721_MAS2.0ch07	64800943	64803327	2451
S_lycopersicum	SL2.50ch07	65596566	65599284	SL2.50ch07	65594115	65596499	2451
Spenn	Spenn-ch07	76645960	76648793	Spenn-ch07	76643455	76645890	2505
ZY56	Sly07	67652422	67655139	Sly07	67649957	67652351	2465
ZY57	Sly07	62269627	62272345	Sly07	62267177	62269560	2450
ZY58	Sly07	60078810	60081589	Sly07	60075644	60076730	3166
ZY59	Sly07	68254405	68257320	Sly07	68251851	68254335	2554
ZY60	Sly07	61253142	61255920	Sly07	61249991	61251077	3151
ZY61	Sly07	68264065	68266782	Sly07	68262705	68263994	1360
ZY62	Sly07	65737447	65740124	Sly07	65734986	65736096	2461
ZY63	Sly07	58697796	58700669	Sly07	58695294	58696422	2502
ZY65	Sly07	61712549	61715267	Sly07	61710097	61712481	2452
